Bitstring,Count
'11101111011000100001',1
'11101111011111100111',1
'11101111011111101101',1
'11101111011111111101',1
'11101111011111111111',4
'11101111100000001001',1
'11101111100011111101',1
'11101111100011111111',1
'11101111101100000001',1
'11101111101110111111',1
'11101111101111000101',1
'11101111101111110111',2
'11101111101111111111',7
'11101111110000000001',1
'11101111110000110111',1
'11101111110011000001',1
'11101111110011111111',2
'11101111110100111111',1
'11101111110110001111',1
'11101111110110100011',1
'11101111110111100001',1
'11101111110111101011',1
'11101111110111110111',1
'11101111110111111001',1
'11101111110111111101',2
'11101111110111111111',2
'11101111111000000001',2
'11101111111000100001',1
'11101111111010000001',2
'11101111111010001101',1
'11101111111010011111',1
'11101111111011101001',1
'11101111111011110111',1
'11101111111011111111',1
'11101111111101000001',1
'11101111111101111111',2
'11101111111110001101',1
'11101111111110011111',1
'11101111111110100001',1
'11101111111110110111',2
'11101111111110111101',2
'11101111111110111111',2
'11101111111111001111',1
'11101111111111010111',2
'11101111111111011111',2
'11101111111111100011',1
'11101111111111100111',1
'11101111111111101001',1
'11101111111111101101',2
'11101111111111101111',12
'11101111111111110001',1
'11101111111111110011',1
'11101111111111110101',1
'11101111111111110111',4
'11101111111111111011',3
'11101111111111111101',6
'11101111111111111111',34
'11110000000000000001',3
'11110000100000000001',1
'11110000100000000011',1
'11110000111111110101',1
'11110001000000000001',1
'11110001110111101111',1
'11110001111111111011',1
'11110001111111111111',1
'11110010011111101111',1
'11110010111111011111',1
'11110011000000100001',1
'11110011100000000000',1
'11110011110111110110',1
'11110011111111101111',1
'11110011111111111110',1
'11110011111111111111',4
'11110101000000000001',1
'11110101111111011111',1
'11110101111111110110',1
'11110101111111111110',1
'11110101111111111111',4
'11110110111111111101',1
'11110110111111111111',2
'11110111110111111111',1
'11110111111011000001',1
'11110111111110111101',1
'11110111111110111111',2
'11110111111111011101',1
'11110111111111011111',1
'11110111111111101111',2
'11110111111111110011',1
'11110111111111111011',2
'11110111111111111101',3
'11110111111111111111',17
'11111000001000000001',1
'11111000111111111111',1
'11111001000000000001',1
'11111001110111111101',1
'11111001111111110111',1
'11111001111111111111',1
'11111010000000000001',1
'11111010111011111101',1
'11111010111111101111',1
'11111010111111111111',2
'11111011011111111111',1
'11111011110111111111',1
'11111011111000000001',1
'11111011111011111111',2
'11111011111101110111',2
'11111011111111100111',1
'11111011111111101011',1
'11111011111111101111',2
'11111011111111110011',3
'11111011111111110101',1
'11111011111111110111',1
'11111011111111111001',1
'11111011111111111011',1
'11111011111111111101',1
'11111011111111111111',32
'11111100101111101111',1
'11111100111111110111',1
'11111100111111111111',2
'11111101000000000001',1
'11111101011110111101',1
'11111101011111110111',1
'11111101100000000001',1
'11111101101111111111',2
'11111101110110111111',1
'11111101110111111111',1
'11111101111011111101',2
'11111101111011111111',2
